fold,training_patients,validation_patients,best_C,best_class_weight,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity,true_RD,true_pCR,predicted_RD,predicted_pCR
1,275,31,100.0,,0.86,0.6035353535353536,0.7419354838709677,0.65,0.42857142857142855,0.375,0.5,0.8,25,6,23,8
2,275,31,0.0001,balanced,0.7733333333333334,0.5458689458689459,0.8064516129032258,0.8166666666666667,0.625,0.5,0.8333333333333334,0.8,25,6,21,10
3,275,31,0.01778279410038923,balanced,0.6733333333333333,0.3524864024864025,0.6774193548387096,0.7366666666666667,0.5,0.35714285714285715,0.8333333333333334,0.64,25,6,17,14
4,275,31,0.0005623413251903491,,0.6466666666666667,0.4169657097288676,0.5806451612903226,0.6133333333333333,0.38095238095238093,0.26666666666666666,0.6666666666666666,0.56,25,6,16,15
5,275,31,0.0005623413251903491,balanced,0.9266666666666666,0.7438492063492063,0.6129032258064516,0.76,0.5,0.3333333333333333,1.0,0.52,25,6,13,18
6,275,31,0.0001,,0.8066666666666666,0.5424242424242425,0.5806451612903226,0.6766666666666667,0.43478260869565216,0.29411764705882354,0.8333333333333334,0.52,25,6,14,17
7,276,30,0.0005623413251903491,balanced,0.9119999999999999,0.5644444444444444,0.7,0.8200000000000001,0.5263157894736842,0.35714285714285715,1.0,0.64,25,5,16,14
8,276,30,0.0001,balanced,0.704,0.4785754985754986,0.6333333333333333,0.62,0.35294117647058826,0.25,0.6,0.64,25,5,18,12
9,276,30,0.0001,,0.888,0.5968253968253969,0.8666666666666667,0.9199999999999999,0.7142857142857143,0.5555555555555556,1.0,0.84,25,5,21,9
10,276,30,0.0005623413251903491,balanced,0.75,0.3520655270655271,0.7,0.75,0.5263157894736842,0.38461538461538464,0.8333333333333334,0.6666666666666666,24,6,17,13
