fold,model,selected_probes,rf_time_seconds,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity
1,Custom Random Forest,84,13.44792628288269,0.8666666666666667,0.726007326007326,0.8387096774193549,0.71,0.5454545454545454,0.6,0.5,0.92
1,Sklearn Random Forest,84,0.06701159477233887,0.7733333333333333,0.46099567099567096,0.7419354838709677,0.7133333333333334,0.5,0.4,0.6666666666666666,0.76
2,Custom Random Forest,12,4.69811487197876,0.7666666666666666,0.5636752136752137,0.8064516129032258,0.6266666666666667,0.4,0.5,0.3333333333333333,0.92
2,Sklearn Random Forest,12,0.06176280975341797,0.7533333333333334,0.47576312576312574,0.8064516129032258,0.69,0.5,0.5,0.5,0.88
3,Custom Random Forest,17,5.9355878829956055,0.7400000000000001,0.5296939619520264,0.7419354838709677,0.7133333333333334,0.5,0.4,0.6666666666666666,0.76
3,Sklearn Random Forest,17,0.06097531318664551,0.7000000000000001,0.5674603174603174,0.6129032258064516,0.6333333333333333,0.4,0.2857142857142857,0.6666666666666666,0.6
4,Custom Random Forest,14,4.585314989089966,0.6533333333333333,0.27809343434343436,0.6774193548387096,0.61,0.375,0.3,0.5,0.72
4,Sklearn Random Forest,14,0.09482693672180176,0.5533333333333333,0.22842065342065343,0.5483870967741935,0.4666666666666667,0.2222222222222222,0.16666666666666666,0.3333333333333333,0.6
5,Custom Random Forest,15,4.5895185470581055,0.8466666666666667,0.6643518518518517,0.7096774193548387,0.7566666666666667,0.5263157894736842,0.38461538461538464,0.8333333333333334,0.68
5,Sklearn Random Forest,15,0.11342787742614746,0.8466666666666666,0.6408730158730158,0.6774193548387096,0.8,0.5454545454545454,0.375,1.0,0.6
6,Custom Random Forest,15,4.717976093292236,0.78,0.44704968944099377,0.7419354838709677,0.7133333333333334,0.5,0.4,0.6666666666666666,0.76
6,Sklearn Random Forest,15,0.05697202682495117,0.7733333333333333,0.548941798941799,0.5483870967741935,0.6566666666666667,0.4166666666666667,0.2777777777777778,0.8333333333333334,0.48
7,Custom Random Forest,80,14.620224952697754,0.824,0.5084415584415585,0.7,0.6599999999999999,0.4,0.3,0.6,0.72
7,Sklearn Random Forest,80,0.05925178527832031,0.8240000000000001,0.43714285714285706,0.7,0.8200000000000001,0.5263157894736842,0.35714285714285715,1.0,0.64
8,Custom Random Forest,91,17.139880418777466,0.668,0.5530952380952381,0.8,0.64,0.4,0.4,0.4,0.88
8,Sklearn Random Forest,91,0.12647485733032227,0.7280000000000001,0.6117948717948718,0.6333333333333333,0.62,0.35294117647058826,0.25,0.6,0.64
9,Custom Random Forest,15,6.467336654663086,0.912,0.711111111111111,0.8,0.72,0.5,0.42857142857142855,0.6,0.84
9,Sklearn Random Forest,15,0.09628129005432129,0.904,0.525952380952381,0.8333333333333334,0.9,0.6666666666666666,0.5,1.0,0.8
10,Custom Random Forest,14,6.364232778549194,0.7152777777777778,0.3584824434824435,0.7666666666666667,0.7291666666666666,0.5333333333333333,0.4444444444444444,0.6666666666666666,0.7916666666666666
10,Sklearn Random Forest,14,0.08207988739013672,0.7083333333333333,0.4199074074074074,0.7666666666666667,0.7916666666666667,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.75
