fold,probe_id
1,200011_s_at
1,200934_at
1,201398_s_at
1,201802_at
1,202652_at
1,202922_at
1,203001_s_at
1,203038_at
1,203200_s_at
1,204001_at
1,204012_s_at
1,204568_at
1,204764_at
1,204775_at
1,205163_at
1,205193_at
1,205347_s_at
1,205379_at
1,205602_x_at
1,205867_at
1,205963_s_at
1,206075_s_at
1,206229_x_at
1,206340_at
1,206373_at
1,206415_at
1,206459_s_at
1,206487_at
1,206695_x_at
1,207015_s_at
1,207134_x_at
1,207481_at
1,207695_s_at
1,208338_at
1,208854_s_at
1,208926_at
1,209035_at
1,209051_s_at
1,209474_s_at
1,209498_at
1,209601_at
1,209686_at
1,209838_at
1,209860_s_at
1,210084_x_at
1,211425_x_at
1,211620_x_at
1,212431_at
1,212711_at
1,213838_at
1,214231_s_at
1,214960_at
1,215233_at
1,215240_at
1,215324_at
1,215339_at
1,215742_at
1,215746_at
1,215943_at
1,216167_at
1,216313_at
1,216396_s_at
1,216740_at
1,216786_at
1,217254_s_at
1,217352_at
1,217498_at
1,217609_at
1,218390_s_at
1,218399_s_at
1,218435_at
1,219005_at
1,219051_x_at
1,219730_at
1,219951_s_at
1,220281_at
1,220837_at
1,220907_at
1,221363_x_at
1,221383_at
1,221424_s_at
1,221650_s_at
1,222228_s_at
1,AFFX-r2-Bs-lys-3_at
2,200011_s_at
2,203702_s_at
2,204012_s_at
2,204568_at
2,206194_at
2,206373_at
2,209644_x_at
2,213029_at
2,214431_at
2,214746_s_at
2,217744_s_at
2,219051_x_at
3,200011_s_at
3,200052_s_at
3,201663_s_at
3,203702_s_at
3,204012_s_at
3,204568_at
3,204825_at
3,205225_at
3,205347_s_at
3,206373_at
3,209644_x_at
3,212220_at
3,212330_at
3,214431_at
3,215233_at
3,219051_x_at
3,221524_s_at
4,200011_s_at
4,203702_s_at
4,204012_s_at
4,204775_at
4,204825_at
4,205225_at
4,205347_s_at
4,206373_at
4,208854_s_at
4,212330_at
4,212431_at
4,214746_s_at
4,217744_s_at
4,219051_x_at
5,203038_at
5,204012_s_at
5,204544_at
5,204750_s_at
5,204775_at
5,204825_at
5,205347_s_at
5,206373_at
5,209644_x_at
5,209747_at
5,210084_x_at
5,214109_at
5,214746_s_at
5,219051_x_at
5,221524_s_at
6,200011_s_at
6,200052_s_at
6,203930_s_at
6,204012_s_at
6,204825_at
6,205225_at
6,205347_s_at
6,205683_x_at
6,206373_at
6,209122_at
6,209747_at
6,212330_at
6,214431_at
6,217744_s_at
6,219051_x_at
7,200011_s_at
7,200876_s_at
7,200934_at
