fold,model,selected_probes,rf_time_seconds,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity,lasso_best_c,lasso_best_class_weight
1,Custom Random Forest,74,7.5235536098480225,0.8600000000000001,0.552672735760971,0.7741935483870968,0.48,0.0,0.0,0.0,0.96,0.1,not_recorded
1,Sklearn Random Forest,74,0.043431758880615234,0.8133333333333334,0.5047619047619047,0.8064516129032258,0.5633333333333334,0.25,0.5,0.16666666666666666,0.96,0.1,not_recorded
2,Custom Random Forest,750,200.54949975013733,0.7066666666666667,0.44375404007756947,0.8064516129032258,0.5633333333333334,0.25,0.5,0.16666666666666666,0.96,100.0,not_recorded
2,Sklearn Random Forest,750,0.0795130729675293,0.7666666666666666,0.592816091954023,0.8387096774193549,0.5833333333333334,0.2857142857142857,1.0,0.16666666666666666,1.0,100.0,not_recorded
3,Custom Random Forest,77,9.134012937545776,0.7333333333333333,0.4517025089605734,0.7419354838709677,0.46,0.0,0.0,0.0,0.92,0.1,not_recorded
3,Sklearn Random Forest,77,0.04799199104309082,0.76,0.6313492063492063,0.8709677419354839,0.6666666666666666,0.5,1.0,0.3333333333333333,1.0,0.1,not_recorded
4,Custom Random Forest,726,161.75954604148865,0.6599999999999999,0.35170634920634913,0.8064516129032258,0.5,0.0,0.0,0.0,1.0,100.0,not_recorded
4,Sklearn Random Forest,726,0.07908892631530762,0.7533333333333333,0.5015782828282828,0.8387096774193549,0.5833333333333334,0.2857142857142857,1.0,0.16666666666666666,1.0,100.0,not_recorded
5,Custom Random Forest,661,142.44510126113892,0.7533333333333333,0.3918803418803418,0.8064516129032258,0.5,0.0,0.0,0.0,1.0,100.0,not_recorded
5,Sklearn Random Forest,661,0.09473824501037598,0.8466666666666667,0.541967291967292,0.8064516129032258,0.5,0.0,0.0,0.0,1.0,100.0,not_recorded
6,Custom Random Forest,777,210.21743774414062,0.6333333333333333,0.4384510125889436,0.8387096774193549,0.5833333333333334,0.2857142857142857,1.0,0.16666666666666666,1.0,100.0,not_recorded
6,Sklearn Random Forest,777,0.08573675155639648,0.7533333333333333,0.5710978835978835,0.8064516129032258,0.5,0.0,0.0,0.0,1.0,100.0,not_recorded
7,Custom Random Forest,645,200.39451265335083,0.824,0.45939393939393935,0.8,0.48,0.0,0.0,0.0,0.96,100.0,not_recorded
7,Sklearn Random Forest,645,0.1183321475982666,0.84,0.44904761904761903,0.8,0.48,0.0,0.0,0.0,0.96,100.0,not_recorded
8,Custom Random Forest,757,219.5498764514923,0.608,0.28615288220551377,0.8333333333333334,0.5,0.0,0.0,0.0,1.0,100.0,not_recorded
8,Sklearn Random Forest,757,0.12039995193481445,0.7120000000000001,0.5638095238095238,0.8666666666666667,0.6,0.3333333333333333,1.0,0.2,1.0,100.0,not_recorded
9,Custom Random Forest,700,182.3512954711914,0.9359999999999999,0.7592857142857143,0.8333333333333334,0.5,0.0,0.0,0.0,1.0,100.0,not_recorded
9,Sklearn Random Forest,700,0.1179347038269043,0.864,0.49120879120879124,0.8333333333333334,0.5,0.0,0.0,0.0,1.0,100.0,not_recorded
10,Custom Random Forest,87,20.390116930007935,0.7222222222222222,0.3756363805276849,0.8,0.5,0.0,0.0,0.0,1.0,0.1,not_recorded
10,Sklearn Random Forest,87,0.06741666793823242,0.6805555555555557,0.34047619047619054,0.7666666666666667,0.4791666666666667,0.0,0.0,0.0,0.9583333333333334,0.1,not_recorded
