fold,probe_id
1,200011_s_at
1,200934_at
1,201802_at
1,202652_at
1,202922_at
1,203001_s_at
1,203200_s_at
1,204001_at
1,204012_s_at
1,204568_at
1,204764_at
1,204775_at
1,205163_at
1,205193_at
1,205347_s_at
1,205379_at
1,205602_x_at
1,205867_at
1,205963_s_at
1,206075_s_at
1,206229_x_at
1,206373_at
1,206459_s_at
1,206487_at
1,206695_x_at
1,207015_s_at
1,207134_x_at
1,207481_at
1,207695_s_at
1,207707_s_at
1,208338_at
1,208854_s_at
1,208926_at
1,208993_s_at
1,209474_s_at
1,209498_at
1,209601_at
1,209686_at
1,209838_at
1,209860_s_at
1,210084_x_at
1,211425_x_at
1,211620_x_at
1,212431_at
1,212711_at
1,212837_at
1,213838_at
1,214231_s_at
1,214960_at
1,215233_at
1,215240_at
1,215324_at
1,215339_at
1,215742_at
1,215746_at
1,215943_at
1,216167_at
1,216313_at
1,216740_at
1,216786_at
1,217352_at
1,217609_at
1,218390_s_at
1,218399_s_at
1,219005_at
1,219051_x_at
1,219730_at
1,219951_s_at
1,220281_at
1,220527_at
1,220907_at
1,221363_x_at
1,221383_at
1,222228_s_at
2,200011_s_at
2,200052_s_at
2,200072_s_at
2,200092_s_at
2,200654_at
2,200656_s_at
2,200663_at
2,200684_s_at
2,200708_at
2,200709_at
2,200723_s_at
2,200737_at
2,200862_at
2,200920_s_at
2,200921_s_at
2,200945_s_at
2,200997_at
2,201123_s_at
2,201148_s_at
2,201218_at
2,201249_at
2,201261_x_at
2,201269_s_at
2,201313_at
2,201374_x_at
2,201398_s_at
2,201519_at
2,201563_at
2,201613_s_at
2,201696_at
2,201736_s_at
2,201763_s_at
2,201779_s_at
2,201802_at
2,201855_s_at
2,201876_at
2,201904_s_at
2,201915_at
2,201936_s_at
2,201956_s_at
2,202007_at
2,202027_at
2,202031_s_at
2,202045_s_at
2,202048_s_at
2,202107_s_at
2,202252_at
2,202273_at
2,202274_at
2,202279_at
2,202311_s_at
2,202355_s_at
2,202359_s_at
2,202401_s_at
2,202545_at
2,202583_s_at
2,202589_at
2,202620_s_at
2,202633_at
2,202652_at
2,202696_at
2,202754_at
2,202757_at
2,202859_x_at
2,202864_s_at
2,202868_s_at
2,202871_at
2,202872_at
2,202882_x_at
2,202912_at
2,202922_at
2,202944_at
2,202956_at
2,202991_at
2,203001_s_at
2,203007_x_at
2,203038_at
2,203136_at
2,203267_s_at
2,203303_at
2,203314_at
2,203375_s_at
2,203400_s_at
2,203409_at
2,203432_at
2,203504_s_at
2,203505_at
2,203570_at
