fold,training_patients,validation_patients,best_C,best_class_weight,selected_probes,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity
1,275,31,0.1,None,74,0.78,0.44188034188034186,0.7741935483870968,0.5433333333333333,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.92
2,275,31,100.0,balanced,750,0.6933333333333334,0.4492554858934169,0.8064516129032258,0.5633333333333334,0.25,0.5,0.16666666666666666,0.96
3,275,31,0.1,None,77,0.6666666666666666,0.3913850486431131,0.7419354838709677,0.46,0.0,0.0,0.0,0.92
4,275,31,100.0,balanced,726,0.47333333333333333,0.3396279821801643,0.7419354838709677,0.5233333333333333,0.2,0.25,0.16666666666666666,0.88
5,275,31,100.0,None,661,0.94,0.682936507936508,0.8709677419354839,0.73,0.6,0.75,0.5,0.96
6,275,31,100.0,balanced,777,0.8666666666666666,0.6202020202020202,0.8064516129032258,0.5633333333333334,0.25,0.5,0.16666666666666666,0.96
7,276,30,100.0,None,645,0.872,0.49090909090909085,0.8333333333333334,0.58,0.2857142857142857,0.5,0.2,0.96
8,276,30,100.0,balanced,757,0.632,0.49037037037037035,0.8333333333333334,0.74,0.5454545454545454,0.5,0.6,0.88
9,276,30,100.0,None,700,0.8400000000000001,0.6476190476190475,0.8333333333333334,0.58,0.2857142857142857,0.5,0.2,0.96
10,276,30,0.1,balanced,87,0.7291666666666667,0.3814983164983165,0.7666666666666667,0.7291666666666666,0.5333333333333333,0.4444444444444444,0.6666666666666666,0.7916666666666666
