PROBEID,selected_folds,mean_coefficient,mean_absolute_coefficient,selection_frequency,SYMBOL,GENENAME,ENTREZID,NUMBER_OF_GENES,MAPPING_STATUS,MODEL_DIRECTION
212431_at,10,-0.2896646252157625,0.2896646252157625,1.0,HMGXB3,HMG box domain containing 3,22993,1,Unique,Higher value associated with RD prediction
204012_s_at,10,-0.218136959043909,0.218136959043909,1.0,LCMT2,leucine carboxyl methyltransferase 2,9836,1,Unique,Higher value associated with RD prediction
206373_at,10,0.2049371364971123,0.2049371364971123,1.0,ZIC1,Zic family member 1,7545,1,Unique,Higher value associated with pCR prediction
214231_s_at,10,-0.18322953482140417,0.18322953482140417,1.0,VWA8,von Willebrand factor A domain containing 8,23078,1,Unique,Higher value associated with RD prediction
215233_at,10,0.181315449577847,0.18131544957784704,1.0,JMJD6,jumonji domain containing 6,23210,1,Unique,Higher value associated with pCR prediction
211620_x_at,10,0.18055644895249084,0.18055644895249084,1.0,LOC100506403 /// LOC101928269 /// RUNX1,uncharacterized LOC100506403 /// uncharacterized LOC101928269 /// runt-related transcription factor 1,861 /// 100506403 /// 101928269,3,Multiple genes,Higher value associated with pCR prediction
214960_at,10,0.1765874928767513,0.1765874928767513,1.0,API5,apoptosis inhibitor 5,8539,1,Unique,Higher value associated with pCR prediction
208854_s_at,10,0.16048397844839568,0.1604839784483957,1.0,STK24,serine/threonine kinase 24,8428,1,Unique,Higher value associated with pCR prediction
205163_at,10,-0.1495637437112805,0.1495637437112805,1.0,MYLPF,"myosin light chain, phosphorylatable, fast skeletal muscle",29895,1,Unique,Higher value associated with RD prediction
219051_x_at,10,-0.14743167664026535,0.14743167664026538,1.0,METRN,"meteorin, glial cell differentiation regulator",79006,1,Unique,Higher value associated with RD prediction
216313_at,10,0.14295372157084216,0.14295372157084216,1.0,PCDHB17,protocadherin beta 17 pseudogene,54661,1,Unique,Higher value associated with pCR prediction
210084_x_at,10,-0.1330821156610304,0.1330821156610304,1.0,TPSAB1,tryptase alpha/beta 1,7177,1,Unique,Higher value associated with RD prediction
204775_at,10,0.09938967349301502,0.099389673493015,1.0,CHAF1B,"chromatin assembly factor 1, subunit B (p60)",8208,1,Unique,Higher value associated with pCR prediction
215943_at,10,-0.05580774792919339,0.055807747929193394,1.0,KIAA1661,KIAA1661 protein,85375,1,Unique,Higher value associated with RD prediction
205963_s_at,9,-0.19620409803778807,0.19620409803778807,0.9,DNAJA3,"DnaJ (Hsp40) homolog, subfamily A, member 3",9093,1,Unique,Higher value associated with RD prediction
204568_at,9,-0.17607282099247096,0.17607282099247096,0.9,ATG14,autophagy related 14,22863,1,Unique,Higher value associated with RD prediction
219005_at,9,0.17421368404576482,0.1742136840457648,0.9,TMEM59L,transmembrane protein 59-like,25789,1,Unique,Higher value associated with pCR prediction
219730_at,9,-0.16745465714441454,0.16745465714441457,0.9,LOC100996782 /// MED18,mediator of RNA polymerase II transcription subunit 18-like /// mediator complex subunit 18,54797 /// 100996782,2,Multiple genes,Higher value associated with RD prediction
217352_at,9,0.16441821081610142,0.16441821081610142,0.9,GS1-164F24.1,,,1,Unique,Higher value associated with pCR prediction
