fold_a,fold_b,shared_probes,union_probes,jaccard_similarity
1,2,57,767,0.07431551499348109
1,3,34,117,0.2905982905982906
1,4,56,744,0.07526881720430108
1,5,68,667,0.10194902548725637
1,6,59,792,0.07449494949494949
1,7,62,657,0.0943683409436834
1,8,59,772,0.07642487046632124
1,9,60,714,0.08403361344537816
1,10,26,135,0.1925925925925926
2,3,58,769,0.0754226267880364
2,4,340,1136,0.2992957746478873
2,5,343,1068,0.3211610486891386
2,6,340,1187,0.2864363942712721
2,7,314,1081,0.2904717853839038
2,8,317,1190,0.26638655462184874
2,9,341,1109,0.30748422001803427
2,10,66,771,0.08560311284046693
3,4,56,747,0.0749665327978581
3,5,63,675,0.09333333333333334
3,6,56,798,0.07017543859649122
3,7,64,658,0.0972644376899696
3,8,59,775,0.07612903225806451
3,9,61,716,0.08519553072625698
3,10,25,139,0.17985611510791366
4,5,345,1042,0.3310940499040307
4,6,356,1147,0.31037489102005233
4,7,315,1056,0.29829545454545453
4,8,313,1170,0.2675213675213675
4,9,354,1072,0.3302238805970149
4,10,68,745,0.0912751677852349
5,6,382,1056,0.36174242424242425
5,7,354,952,0.37184873949579833
5,8,352,1066,0.3302063789868668
5,9,370,991,0.37336024217961655
5,10,68,680,0.1
6,7,346,1076,0.3215613382899628
6,8,334,1200,0.2783333333333333
6,9,372,1105,0.33665158371040727
6,10,68,796,0.08542713567839195
7,8,333,1069,0.3115060804490178
7,9,362,983,0.36826042726347913
7,10,69,663,0.10407239819004525
8,9,364,1093,0.33302836230558097
8,10,69,775,0.08903225806451613
9,10,74,713,0.10378681626928471
