fold,training_patients,validation_patients,best_n_estimators,best_max_depth,best_class_weight,roc_auc,average_precision,accuracy,balanced_accuracy,f1,precision,sensitivity,specificity
1,275,31,300,,balanced,0.8466666666666667,0.6547619047619047,0.8387096774193549,0.6466666666666666,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.96
2,275,31,300,5.0,balanced,0.78,0.5359025032938076,0.8064516129032258,0.6266666666666667,0.4,0.5,0.3333333333333333,0.92
3,275,31,100,5.0,,0.6666666666666666,0.3587883141762452,0.8064516129032258,0.5,0.0,0.0,0.0,1.0
4,275,31,100,,balanced,0.64,0.27335700362016147,0.7419354838709677,0.46,0.0,0.0,0.0,0.92
5,275,31,300,,balanced,0.8533333333333333,0.6605311355311355,0.8064516129032258,0.69,0.5,0.5,0.5,0.88
6,275,31,300,,,0.69,0.48237688237688237,0.8064516129032258,0.5,0.0,0.0,0.0,1.0
7,276,30,300,,balanced,0.852,0.42646464646464644,0.8,0.8,0.5714285714285714,0.4444444444444444,0.8,0.8
8,276,30,300,,balanced,0.712,0.5829670329670329,0.9,0.7,0.5714285714285714,1.0,0.4,1.0
9,276,30,100,5.0,,0.9199999999999999,0.7253968253968255,0.8666666666666667,0.6,0.3333333333333333,1.0,0.2,1.0
10,276,30,300,,balanced,0.7291666666666666,0.37689393939393945,0.7333333333333333,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334
